"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
111,"@WPAOG An American Hero.","pmwmediation",2019-11-06 15:07:40,"WPAOG","United States",106,0,NA,NA,NA,NA,NA
112,"@WPAOG A letter from LTG Williams, Superintendent, will be read at the ceremony and presented to the descendants of COL Young.
If attending and a grad, look up Ranger Shelton Johnson (event organizer) prior to the ceremony and let him know you are in attendance.
https://t.co/m2KmtfQFou","Rusty0327",2019-11-06 14:06:26,"WPAOG","Dumfries, VA",63,1,NA,NA,NA,NA,NA
113,"But we knew that... https://t.co/lBix8NxkEv","patty_rasmussen",2019-11-06 12:41:18,"WPAOG","",829,0,NA,NA,NA,NA,NA
114,"@WPAOG @nypost As a guy who didn't survive my doolie year at the Air Force Academy, I can vouch for this. I had the brains and the brawn, but no grit — and still don't.","LacusCurtius",2019-11-06 01:20:42,"WPAOG","Rogers Park, Chicago USA",1610,0,NA,NA,NA,NA,NA
115,"@WPAOG How is this different from the deal I read about last week made with ESPN to tie Army into ESPN owned/sponsored bowls? #GoArmy #BeatUMASS","ColonelsCONEX",2019-11-05 20:59:05,"WPAOG","Huntsville, AL",1134,1,NA,NA,NA,NA,NA
71,"#usmacadetnews CBS Sports to Celebrate Army-Navy Football Rivalry https://t.co/JNSeEiqu4v","WPAOG",2019-11-07 20:48:53,"WPAOG","West Point, NY",15353,6,NA,NA,NA,NA,NA
28,"#usmacadetnews Men's Rugby Finishes Fall Season Victorious https://t.co/pG67OJsJ7U","WPAOG",2019-11-12 20:49:24,"WPAOG","West Point, NY",15353,3,NA,NA,NA,NA,NA
13,"#usmacadetnews Volleyball Extends Winning Streak to Four https://t.co/rDBzigtxHO","WPAOG",2019-11-13 20:48:36,"WPAOG","West Point, NY",15353,2,NA,NA,NA,NA,NA
27,"#usmacadetnews CSFL CHAMPS! Sprint Football Tops Navy, 13-0 https://t.co/Has919XxUv","WPAOG",2019-11-12 20:49:24,"WPAOG","West Point, NY",15353,2,NA,NA,NA,NA,NA
15,"#usmacadetnews Game Notes: Army Hosts VMI in Home Finale https://t.co/QaSDuHzB9R","WPAOG",2019-11-13 20:48:36,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
16,"#usmacadetnews Men's Basketball Powers Past USMMA in Season-Opening Win https://t.co/FpaMPiBZW8","WPAOG",2019-11-12 20:49:23,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
30,"#usmacadetnews Suppiah Garners Academic All-League Accolades https://t.co/tMwoFpB7bq","WPAOG",2019-11-12 20:49:23,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
51,"#westpointgradnews Class Notes Updates This Week https://t.co/uOMeSiGquD","WPAOG",2019-11-08 20:04:14,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
52,"#westpointgradnews Velez '77 Appointed CEO at Trident https://t.co/ITcLiRKBVe","WPAOG",2019-11-08 20:04:14,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
72,"#usmacadetnews Drill Earns 2nd Overall at Cornell https://t.co/HTnje13C4J","WPAOG",2019-11-06 20:51:20,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
64,"#usmacadetnews Game Notes: Army Hosts UMass on Saturday https://t.co/k4YxG9Ek5r","WPAOG",2019-11-06 20:51:19,"WPAOG","West Point, NY",15353,1,NA,NA,NA,NA,NA
14,"#usmacadetnews Zhang Named League's Male Swimmer of the Week https://t.co/H0kItXyZZf","WPAOG",2019-11-13 20:48:36,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
34,"#usmacadetnews Cassalia Receives PL Honors for Academic Achievements https://t.co/Ao5difTlE2","WPAOG",2019-11-08 20:47:24,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
35,"#usmacadetnews West Point Women’s Handball Home Opener https://t.co/AjE14rVWMI","WPAOG",2019-11-08 20:47:24,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
45,"#usmacadetnews Cadets Visit the Supreme Court https://t.co/9dlAT4rQJL","WPAOG",2019-11-08 20:47:24,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
46,"#usmacadetnews Four Cadets Tabbed CEP Athletes of October https://t.co/mjgsiDqjXo","WPAOG",2019-11-08 20:47:24,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
60,"#usmacadetnews Men's Soccer Firsties Sent off in Style https://t.co/ZXqarqGdZt","WPAOG",2019-11-07 20:48:54,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
61,"#usmacadetnews Petrella Named League Scholar Athlete of the Year https://t.co/Jk8AbCOZ31","WPAOG",2019-11-07 20:48:54,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
67,"#usmacadetnews Marathon First at the Army 10 Miler in DC https://t.co/djEtlRdoQP","WPAOG",2019-11-07 20:48:53,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
66,"#usmacadetnews Sullivan Named CSFL Offensive Player of the Week https://t.co/bSwz5yDFrl","WPAOG",2019-11-06 20:51:20,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
70,"#usmacadetnews Explosive First Half Lifts #3 Army Past #6 Colgate https://t.co/FKGfsuKbmK","WPAOG",2019-11-06 20:51:19,"WPAOG","West Point, NY",15353,0,NA,NA,NA,NA,NA
